Gene Name	 Locus Tag (prokka_output)	Locus Tag (K12 reference)	Start of Gene	End of Gene	Strand	UniProt ID	Protein Product
yfgH	FJKNNBLA_02451	b2505	2550614	2551129	1	P65290	lipoprotein YfgH
yfgI	FJKNNBLA_02452	b2506	2551145	2551684	1	P76573	nalidixic acid resistance protein YfgI
guaA	FJKNNBLA_02453	b2507	2553354	2551777	-1	P04079	GMP synthetase
guaB	FJKNNBLA_02454	b2508	2554889	2553423	-1	P0ADG7	inosine 5'-monophosphate dehydrogenase
xseA	FJKNNBLA_02455	b2509	2555051	2556421	1	P04994	exodeoxyribonuclease VII subunit XseA
yfgJ	FJKNNBLA_02456	b2510	2556633	2556418	-1	P76575	zinc ribbon domain-containing protein YfgJ
der	FJKNNBLA_02457	b2511	2558175	2556703	-1	P0A6P5	50S ribosomal subunit stability factor
bamB	FJKNNBLA_02458	b2512	2559471	2558293	-1	P77774	outer membrane protein assembly factor BamB
yfgM	FJKNNBLA_02459	b2513	2560102	2559482	-1	P76576	ancillary SecYEG translocon subunit
hisS	FJKNNBLA_02460	b2514	2561394	2560120	-1	P60906	histidine--tRNA ligase
ispG	FJKNNBLA_02461	b2515	2562623	2561505	-1	P62620	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)
rodZ	FJKNNBLA_02462	b2516	2563663	2562650	-1	P27434	cytoskeleton protein RodZ
rlmN	FJKNNBLA_02463	b2517	2565102	2563948	-1	P36979	23S rRNA m(2)A2503 methyltransferase/tRNA m(2)A37 methyltransferase
ndk	FJKNNBLA_02464	b2518	2565683	2565252	-1	P0A763	nucleoside diphosphate kinase
pbpC	FJKNNBLA_02465	b2519	2568105	2565832	-1	P76577	peptidoglycan glycosyltransferase PbpC
yfhM	FJKNNBLA_02466	b2520	2573106	2568145	-1	P76578	alpha2-macroglobulin
sseA	FJKNNBLA_02467	b2521	2573313	2574158	1	P31142	3-mercaptopyruvate sulfurtransferase
sseB	FJKNNBLA_02468	b2522	2575752	2574976	-1	P0AFZ1	protein SseB
pepB	FJKNNBLA_02469	b2523	2577177	2575894	-1	P37095	aminopeptidase B
iscX	FJKNNBLA_02470	b2524	2577435	2577235	-1	P0C0L9	accessory iron-sulfur cluster assembly protein IscX
hscA	FJKNNBLA_02472	b2526	2579634	2577784	-1	P0A6Z1	iron-sulfur cluster biosynthesis chaperone HscA
hscB	FJKNNBLA_02473	b2527	2580166	2579651	-1	P0A6L9	[Fe-S
iscA	FJKNNBLA_02474	b2528	2580585	2580262	-1	P0AAC8	iron-sulfur cluster insertion protein IscA
iscU	FJKNNBLA_02475	b2529	2580988	2580602	-1	P0ACD4	scaffold protein for iron-sulfur cluster assembly
iscS	FJKNNBLA_02476	b2530	2582230	2581016	-1	P0A6B7	cysteine desulfurase IscS
iscR	FJKNNBLA_02477	b2531	2582830	2582342	-1	P0AGK8	DNA-binding transcriptional dual regulator IscR
trmJ	FJKNNBLA_02478	b2532	2584022	2583282	-1	P0AE01	tRNA Cm32/Um32 methyltransferase
suhB	FJKNNBLA_02479	b2533	2584141	2584944	1	P0ADG4	inositol-phosphate phosphatase
yfhR	FJKNNBLA_02480	b2534	2585089	2585943	1	P77538	putative peptidase
csiE	FJKNNBLA_02481	b2535	2586134	2587414	1	P54901	stationary phase inducible protein CsiE
hcaT	FJKNNBLA_02482	b2536	2588545	2587406	-1	Q47142	putative 3-phenylpropionate transporter
hcaR	FJKNNBLA_02483	b2537	2589595	2588705	-1	Q47141	DNA-binding transcriptional dual regulator HcaR
hcaE	FJKNNBLA_02484	b2538	2589731	2591092	1	P0ABR5	putative 3-phenylpropionate/cinnamate dioxygenase subunit alpha
hcaF	FJKNNBLA_02485	b2539	2591089	2591607	1	Q47140	putative 3-phenylpropionate/cinnamate dioxygenase subunit beta
hcaC	FJKNNBLA_02486	b2540	2591607	2591927	1	P0ABW0	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin subunit
hcaB	FJKNNBLA_02487	b2541	2591924	2592736	1	P0CI31	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase
hcaD	FJKNNBLA_02488	b2542	2592746	2593948	1	P77650	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit
yphA	FJKNNBLA_02489	b2543	2594045	2594467	1	P0AD47	putative inner membrane protein
yphB	FJKNNBLA_02490	b2544	2595387	2594515	-1	P76584	putative aldose 1-epimerase YphB
yphC	FJKNNBLA_02491	b2545	2596460	2595399	-1	P77360	putative zinc-binding dehydrogenase YphC
yphD	FJKNNBLA_02492	b2546	2597524	2596526	-1	P77315	putative ABC transporter membrane subunit YphD
yphE	FJKNNBLA_02493	b2547	2599060	2597549	-1	P77509	putative ABC transporter ATP-binding protein YphE
yphF	FJKNNBLA_02494	b2548	2600066	2599083	-1	P77269	putative ABC transporter periplasmic binding protein YphF
yphG	FJKNNBLA_02495	b2549	2603444	2600163	-1	P76585	DUF5107 domain-containing protein YphG
yphH	FJKNNBLA_02496	b2550	2603562	2604755	1	P76586	putative DNA-binding transcriptional regulator, NAGC-like
glyA	FJKNNBLA_02497	b2551	2606206	2604953	-1	P0A825	serine hydroxymethyltransferase
hmp	FJKNNBLA_02498	b2552	2606534	2607724	1	P24232	nitric oxide dioxygenase
glnB	FJKNNBLA_02499	b2553	2608107	2607769	-1	P0A9Z1	nitrogen regulatory protein PII-1
glrR	FJKNNBLA_02500	b2554	2609502	2608168	-1	P0AFU4	DNA-binding transcriptional activator GlrR
yfhG	FJKNNBLA_02501	b2555	2610205	2609492	-1	P0AD44	outer membrane lipoprotein QseG
glrK	FJKNNBLA_02502	b2556	2611752	2610370	-1	P52101	histidine kinase GlrK
purL	FJKNNBLA_02503	b2557	2616260	2612373	-1	P15254	phosphoribosylformylglycinamide synthetase
mltF	FJKNNBLA_02504	b2558	2616518	2618050	1	P0AGC5	membrane-bound lytic murein transglycosylase F
tadA	FJKNNBLA_02507	b2559	2619349	2618846	-1	P68398	tRNA adenosine(34)deaminase
pgpC	FJKNNBLA_02508	b2560	2620042	2619407	-1	P0AD42	phosphatidylglycerophosphatase C
yfhH	FJKNNBLA_02509	b2561	2620251	2621099	1	P37767	putative DNA-binding transcriptional regulator YfhH
yfhL	FJKNNBLA_02510	b2562	2621155	2621415	1	P52102	putative 4Fe-4S cluster-containing protein YfhL
acpS	FJKNNBLA_02511	b2563	2622490	2622110	-1	P24224	holo-[acyl-carrier-protein
pdxJ	FJKNNBLA_02512	b2564	2623221	2622490	-1	P0A794	pyridoxine 5'-phosphate synthase
recO	FJKNNBLA_02513	b2565	2623961	2623233	-1	P0A7H3	DNA repair protein RecO
era	FJKNNBLA_02514	b2566	2624878	2623973	-1	P06616	30S ribosomal subunit maturation GTPase Era
rnc	FJKNNBLA_02515	b2567	2625555	2624875	-1	P0A7Y0	RNase III
lepB	FJKNNBLA_02516	b2568	2626802	2625828	-1	P00803	signal peptidase I
lepA	FJKNNBLA_02517	b2569	2628617	2626818	-1	P60785	30S ribosomal subunit biogenesis factor LepA
rseC	FJKNNBLA_02518	b2570	2629294	2628815	-1	P46187	protein RseC
rseB	FJKNNBLA_02519	b2571	2630247	2629291	-1	P0AFX9	anti-sigma factor stabilizing protein RseB
rseA	FJKNNBLA_02520	b2572	2630897	2630247	-1	P0AFX7	anti-sigma-E factor RseA
rpoE	FJKNNBLA_02521	b2573	2631505	2630930	-1	P0AGB6	RNA polymerase sigma E factor
nadB	FJKNNBLA_02522	b2574	2631913	2633535	1	P10902	L-aspartate oxidase
yfiC	FJKNNBLA_02523	b2575	2634257	2633520	-1	P31825	tRNA m(6)A37 methyltransferase
srmB	FJKNNBLA_02524	b2576	2634389	2635723	1	P21507	ATP-dependent RNA helicase SrmB
yfiE	FJKNNBLA_02525	b2577	2636813	2635932	-1	P33634	putative LysR-type DNA-binding transcriptional regulator YfiE
eamB	FJKNNBLA_02526	b2578	2636916	2637503	1	P38101	cysteine/O-acetylserine exporter EamB
grcA	FJKNNBLA_02527	b2579	2637942	2637559	-1	P68066	stress-induced alternate pyruvate formate-lyase subunit
ung	FJKNNBLA_02528	b2580	2638247	2638936	1	P12295	uracil-DNA glycosylase
yfiF	FJKNNBLA_02529	b2581	2640021	2638984	-1	P0AGJ5	putative methyltransferase YfiF
trxC	FJKNNBLA_02530	b2582	2640228	2640647	1	P0AGG4	reduced thioredoxin 2
tapT	FJKNNBLA_02531	b2583	2640716	2641414	1	Q47319	tRNA 3-amino-3-carboxypropyltransferase
patZ	FJKNNBLA_02532	b2584	2641446	2644106	1	P76594	peptidyl-lysine N-acetyltransferase
pssA	FJKNNBLA_02533	b2585	2644220	2645575	1	P23830	phosphatidylserine synthase
yfiM	FJKNNBLA_02534	b2586	2645672	2645944	1	P46126	protein YfiM
kgtP	FJKNNBLA_02535	b2587	2647239	2645941	-1	P0AEX3	alpha-ketoglutarate:H(+)symporter
clpB	FJKNNBLA_02540	b2592	2655581	2653008	-1	P63284	chaperone protein ClpB
yfiH	FJKNNBLA_02541	b2593	2656442	2655711	-1	P33644	polyphenol oxidase YfiH
rluD	FJKNNBLA_02542	b2594	2657419	2656439	-1	P33643	23S rRNA pseudouridine(1911/1915/1917)synthase
bamD	FJKNNBLA_02543	b2595	2657554	2658291	1	P0AC02	outer membrane protein assembly factor BamD
raiA	FJKNNBLA_02544	b2597	2658562	2658903	1	P0AD49	ribosome-associated inhibitor A
pheA	FJKNNBLA_02545	b2599	2659152	2660312	1	P0A9J8	fused chorismate mutase/prephenate dehydratase
tyrA	FJKNNBLA_02546	b2600	2661476	2660355	-1	P07023	fused chorismate mutase/prephenate dehydrogenase
aroF	FJKNNBLA_02547	b2601	2662557	2661487	-1	P00888	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive
yfiL	FJKNNBLA_02548	b2602	2662770	2663132	1	P11289	DUF2799 domain-containing lipoprotein YfiL
yfiR	FJKNNBLA_02549	b2603	2663282	2663800	1	P64548	DUF4154 domain-containing protein YfiR
dgcN	FJKNNBLA_02550	b2604	2663790	2665016	1	P46139	diguanylate cyclase DgcN
yfiB	FJKNNBLA_02551	b2605	2665032	2665514	1	P07021	lipoprotein YfiB
rplS	FJKNNBLA_02552	b2606	2665937	2665590	-1	P0A7K6	50S ribosomal subunit protein L19
trmD	FJKNNBLA_02553	b2607	2666746	2665979	-1	P0A873	tRNA m(1)G37 methyltransferase
rimM	FJKNNBLA_02554	b2608	2667325	2666777	-1	P0A7X6	ribosome maturation factor RimM
rpsP	FJKNNBLA_02555	b2609	2667592	2667344	-1	P0A7T3	30S ribosomal subunit protein S16
ffh	FJKNNBLA_02556	b2610	2669090	2667729	-1	P0AGD7	signal recognition particle protein component
ypjD	FJKNNBLA_02557	b2611	2669182	2670048	1	P64432	cytochrome c assembly family protein
yfjD	FJKNNBLA_02558	b4461	2670114	2671355	1	P37908	UPF0053 family inner membrane protein YfjD
grpE	FJKNNBLA_02559	b2614	2672003	2671410	-1	P09372	nucleotide exchange factor GrpE
nadK	FJKNNBLA_02560	b2615	2672126	2673004	1	P0A7B3	NAD kinase
recN	FJKNNBLA_02561	b2616	2673090	2674751	1	P05824	DNA repair protein RecN
bamE	FJKNNBLA_02562	b2617	2674900	2675241	1	P0A937	outer membrane protein assembly factor BamE
ratB	FJKNNBLA_02563	b2618	2675593	2675303	-1	P52119	putative component of the Rsx system
ratA	FJKNNBLA_02564	b2619	2676032	2675583	-1	P0AGL5	ribosome association toxin RatA
smpB	FJKNNBLA_02565	b2620	2676191	2676673	1	P0A832	SsrA-binding protein
intA	FJKNNBLA_02568	b2622	2677417	2678646	1	P32053	CP4-57 prophage;integrase IntA
FJKNNBLA_02569	FJKNNBLA_02569	N/A	2678929	2680485	1	N/A	['hypothetical protein']
noc	FJKNNBLA_02570	N/A	2680475	2681371	1	N/A	['Nucleoid occlusion protein']
FJKNNBLA_02571	FJKNNBLA_02571	N/A	2681368	2682264	1	N/A	['hypothetical protein']
glaH	FJKNNBLA_02574	b2659	2683666	2684643	1	P76621	glutarate hydroxylase GlaH
lhgD	FJKNNBLA_02575	b2660	2684662	2685930	1	P37339	L-2-hydroxyglutarate dehydrogenase
gabD	FJKNNBLA_02576	b2661	2685953	2687401	1	P25526	succinate-semialdehyde dehydrogenase (NADP(+)) GabD
gabT	FJKNNBLA_02577	b2662	2687415	2688695	1	P22256	4-aminobutyrate aminotransferase GabT
gabP	FJKNNBLA_02578	b2663	2689006	2690406	1	P25527	4-aminobutanoate:H(+)symporter
glaR	FJKNNBLA_02579	b2664	2690427	2691089	1	P37338	DNA-binding transcriptional repressor GlaR
kbp	FJKNNBLA_02580	b2665	2691539	2691090	-1	P0ADE6	K(+) binding protein
yqaE	FJKNNBLA_02581	b2666	2691781	2691623	-1	P0AE42	Pmp3 family protein YqaE
ygaV	FJKNNBLA_02582	b2667	2691964	2692263	1	P77295	putative DNA-binding transcriptional regulator YgaV
ygaP	FJKNNBLA_02583	b2668	2692273	2692797	1	P55734	thiosulfate sulfurtransferase YgaP
stpA	FJKNNBLA_02584	b2669	2693248	2692844	-1	P0ACG1	DNA-binding transcriptional repressor StpA with RNA chaperone activity
alaE	FJKNNBLA_02585	b2670	2693916	2694365	1	P64550	L-alanine exporter
ygaC	FJKNNBLA_02586	b2671	2694746	2694402	-1	P0AD53	DUF2002 domain-containing protein YgaC
ygaM	FJKNNBLA_02587	b2672	2694898	2695227	1	P0ADQ7	DUF883 domain-containing protein YgaM
nrdH	FJKNNBLA_02588	b2673	2695475	2695720	1	P0AC65	glutaredoxin-like protein NrdH
nrdI	FJKNNBLA_02589	b2674	2695717	2696127	1	P0A772	dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI
nrdE	FJKNNBLA_02590	b2675	2696100	2698244	1	P39452	ribonucleoside-diphosphate reductase 2 subunit alpha
nrdF	FJKNNBLA_02591	b2676	2698254	2699213	1	P37146	ribonucleoside-diphosphate reductase 2 subunit beta
proV	FJKNNBLA_02592	b2677	2699567	2700769	1	P14175	glycine betaine ABC transporter ATP binding subunit ProV
proW	FJKNNBLA_02593	b2678	2700762	2701826	1	P14176	glycine betaine ABC transporter membrane subunit ProW
proX	FJKNNBLA_02594	b2679	2701884	2702876	1	P0AFM2	glycine betaine ABC transporter periplasmic binding protein ProX
ynfM	FJKNNBLA_02595	b1596	2703168	2704352	1	P43531	putative transporter YnfM
ygaZ	FJKNNBLA_02596	b2682	2704476	2705213	1	P76630	L-valine exporter,YgaZ component
ygaH	FJKNNBLA_02597	b2683	2705203	2705538	1	P43667	L-valine exporter,YgaH component
mprA	FJKNNBLA_02598	b2684	2705629	2706159	1	P0ACR9	DNA-binding transcriptional repressor MprA
emrA	FJKNNBLA_02599	b2685	2706286	2707458	1	P27303	multidrug efflux pump membrane fusion protein EmrA
emrB	FJKNNBLA_02600	b2686	2707475	2709013	1	P0AEJ0	multidrug efflux pump membrane subunit EmrB
luxS	FJKNNBLA_02601	b2687	2709592	2709077	-1	P45578	S-ribosylhomocysteine lyase
gshA	FJKNNBLA_02602	b2688	2711298	2709742	-1	P0A6W9	glutamate--cysteine ligase
yqaA	FJKNNBLA_02603	b2689	2711799	2711371	-1	P0ADR0	DedA family protein YqaA
yqaB	FJKNNBLA_02604	b2690	2712362	2711796	-1	P77475	fructose-1-phosphate phosphatase YqaB
csrA	FJKNNBLA_02611	b2696	2714005	2713820	-1	P69913	carbon storage regulator
alaS	FJKNNBLA_02612	b2697	2716870	2714240	-1	P00957	alanine--tRNA ligase/DNA-binding transcriptional repressor
recX	FJKNNBLA_02613	b2698	2717498	2716998	-1	P33596	RecA inhibitor RecX
recA	FJKNNBLA_02614	b2699	2718628	2717567	-1	P0A7G6	DNA recombination/repair protein RecA
pncC	FJKNNBLA_02615	b2700	2719205	2718708	-1	P0A6G3	NMN aminohydrolase
mltB	FJKNNBLA_02616	b2701	2720540	2719350	-1	P41052	membrane-bound lytic murein transglycosylase B
srlA	FJKNNBLA_02617	b2702	2720691	2721254	1	P56579	sorbitol-specific PTS enzyme IIC2 component
srlE	FJKNNBLA_02618	b2703	2721251	2722210	1	P56580	sorbitol-specific PTS enzyme IIBC1 component
srlB	FJKNNBLA_02619	b2704	2722221	2722592	1	P05706	sorbitol-specific PTS enzyme IIA component
srlD	FJKNNBLA_02620	b2705	2722596	2723375	1	P05707	sorbitol-6-phosphate 2-dehydrogenase
gutM	FJKNNBLA_02621	b2706	2723481	2723840	1	P15081	DNA-binding transcriptional activator GutM
srlR	FJKNNBLA_02622	b2707	2723907	2724680	1	P15082	DNA-binding transcriptional repressor SrlR
gutQ	FJKNNBLA_02623	b2708	2724673	2725638	1	P17115	D-arabinose 5-phosphate isomerase GutQ
norR	FJKNNBLA_02624	b2709	2727149	2725635	-1	P37013	DNA-binding transcriptional dual regulator NorR
norV	FJKNNBLA_02625	b2710	2727336	2728775	1	Q46877	anaerobic nitric oxide reductase flavorubredoxin
norW	FJKNNBLA_02626	b2711	2728772	2729905	1	P37596	NADH:flavorubredoxin reductase
hypF	FJKNNBLA_02627	b2712	2732285	2730033	-1	P30131	carbamoyl--[HypE
hydN	FJKNNBLA_02628	b2713	2732965	2732438	-1	P0AAK4	putative electron transport protein HydN
ascG	FJKNNBLA_02629	b2714	2734127	2733114	-1	P24242	DNA-binding transcriptional repressor AscG
ascF	FJKNNBLA_02630	b2715	2734384	2735841	1	P24241	beta-glucoside specific PTS enzyme IIBC component
ascB	FJKNNBLA_02631	b2716	2735850	2737274	1	P24240	6-phospho-beta-glucosidase AscB
hycI	FJKNNBLA_02632	b2717	2737903	2737433	-1	P0AEV9	hydrogenase 3 maturation protease
hycH	FJKNNBLA_02633	b2718	2738306	2737896	-1	P0AEV7	formate hydrogenlyase assembly protein
hycG	FJKNNBLA_02634	b2719	2739070	2738303	-1	P16433	formate hydrogenlyase subunit HycG
hycF	FJKNNBLA_02635	b2720	2739612	2739070	-1	P16432	formate hydrogenlyase subunit HycF
hycE	FJKNNBLA_02636	b2721	2741331	2739622	-1	P16431	formate hydrogenlyase subunit HycE
hycD	FJKNNBLA_02637	b2722	2742272	2741349	-1	P16430	formate hydrogenlyase subunit HycD
hycC	FJKNNBLA_02638	b2723	2744101	2742275	-1	P16429	formate hydrogenlyase subunit HycC
hycB	FJKNNBLA_02639	b2724	2744709	2744098	-1	P0AAK1	formate hydrogenlyase subunit HycB
hycA	FJKNNBLA_02640	b2725	2745295	2744834	-1	P0AEV4	regulator of the transcriptional regulator FhlA
hypA	FJKNNBLA_02641	b2726	2745507	2745857	1	P0A700	hydrogenase 3 nickel incorporation protein HypA
hypB	FJKNNBLA_02642	b2727	2745861	2746733	1	P0AAN3	hydrogenase isoenzymes nickel incorporation protein HypB
hypC	FJKNNBLA_02643	b2728	2746724	2746996	1	P0AAM3	hydrogenase 3 maturation protein HypC
hypD	FJKNNBLA_02644	b2729	2746996	2748117	1	P24192	Fe-(CN)2CO cofactor assembly scaffold protein HypD
hypE	FJKNNBLA_02645	b2730	2748114	2749124	1	P24193	hydrogenase maturation protein, carbamoyl dehydratase
fhlA	FJKNNBLA_02646	b2731	2749198	2751276	1	P19323	DNA-binding transcriptional activator FhlA
ygbA	FJKNNBLA_02647	b2732	2751666	2751313	-1	P25728	protein YgbA
FJKNNBLA_02648	FJKNNBLA_02648	N/A	2751877	2751743	-1	N/A	['hypothetical protein']
mutS	FJKNNBLA_02649	b2733	2751953	2754514	1	P23909	DNA mismatch repair protein MutS
pphB	FJKNNBLA_02650	b2734	2754620	2755276	1	P55799	phosphoprotein phosphatase 2
ygbI	FJKNNBLA_02651	b2735	2756094	2755327	-1	P52598	putative DeoR-type DNA-binding transcriptional regulator YgbI
ltnD	FJKNNBLA_02652	b2736	2756290	2757198	1	Q46888	putative L-threonate dehydrogenase
otnK	FJKNNBLA_02653	b2737	2757195	2758457	1	Q46889	putative 3-oxo-tetronate kinase YgbK
otnC	FJKNNBLA_02654	b2738	2758454	2759092	1	Q46890	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL
otnI	FJKNNBLA_02655	b2739	2759097	2759873	1	Q46891	putative 2-oxo-tetronate isomerase YgbM
ygbN	FJKNNBLA_02656	b2740	2759962	2761326	1	Q46892	putative transporter YgbN
rpoS	FJKNNBLA_02657	b2741	2762412	2761420	-1	P13445	RNA polymerase,sigma S (sigma 38) factor
nlpD	FJKNNBLA_02658	b2742	2763614	2762475	-1	P0ADA3	murein hydrolase activator NlpD
pcm	FJKNNBLA_02659	b2743	2764380	2763754	-1	P0A7A5	L-isoaspartate protein carboxylmethyltransferase type II
surE	FJKNNBLA_02660	b2744	2765135	2764374	-1	P0A840	broad specificity 5'(3')-nucleotidase and polyphosphatase
truD	FJKNNBLA_02661	b2745	2766165	2765116	-1	Q57261	tRNA pseudouridine(13)synthase
ispF	FJKNNBLA_02662	b2746	2766641	2766162	-1	P62617	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ispD	FJKNNBLA_02663	b2747	2767351	2766641	-1	Q46893	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
ftsB	FJKNNBLA_02664	b2748	2767681	2767370	-1	P0A6S5	cell division protein FtsB
ygbE	FJKNNBLA_02665	b2749	2768198	2767875	-1	P46141	DUF3561 domain-containing inner membrane protein YgbE
cysC	FJKNNBLA_02666	b2750	2768853	2768248	-1	P0A6J1	adenylyl-sulfate kinase
cysN	FJKNNBLA_02667	b2751	2770280	2768853	-1	P23845	sulfate adenylyltransferase subunit 1
cysD	FJKNNBLA_02668	b2752	2771190	2770282	-1	P21156	sulfate adenylyltransferase subunit 2
iap	FJKNNBLA_02669	b2753	2771442	2772479	1	P10423	alkaline phosphatase isozyme conversion protein
hokE	FJKNNBLA_02672	b4415	2774368	2774216	-1	P77091	protein HokE
cysH	FJKNNBLA_02675	b2762	2776813	2776079	-1	P17854	phosphoadenosine phosphosulfate reductase
cysI	FJKNNBLA_02676	b2763	2778599	2776887	-1	P17846	sulfite reductase,hemoprotein subunit
cysJ	FJKNNBLA_02677	b2764	2780398	2778599	-1	P38038	sulfite reductase,flavoprotein subunit
queD	FJKNNBLA_02678	b2765	2780714	2781079	1	P65870	6-carboxy-5,6,7,8-tetrahydropterin synthase
ygcN	FJKNNBLA_02679	b2766	2781157	2782428	1	Q46904	putative oxidoreductase with FAD/NAD(P)-binding domain
ygcO	FJKNNBLA_02680	b2767	2782419	2782679	1	Q46905	putative 4Fe-4S cluster-containing protein
ygcP	FJKNNBLA_02681	b2768	2782696	2783271	1	Q46906	putative anti-terminator regulatory protein
ygcQ	FJKNNBLA_02682	b2769	2784279	2783419	-1	Q46907	putative flavoprotein
ygcR	FJKNNBLA_02683	b2770	2785055	2784276	-1	Q46908	putative flavoprotein
ygcS	FJKNNBLA_02684	b2771	2786442	2785033	-1	Q46909	putative transporter YgcS
ygcU	FJKNNBLA_02685	b4463	2787918	2786464	-1	Q46911	putative FAD-containing dehydrogenase
ygcW	FJKNNBLA_02686	b2774	2788773	2787988	-1	P76633	putative deoxygluconate dehydrogenase
yqcE	FJKNNBLA_02687	b2775	2789092	2790369	1	P77031	putative transport protein YqcE
ygcE	FJKNNBLA_02688	b2776	2790396	2791874	1	P55138	putative sugar kinase YgcE
queE	FJKNNBLA_02689	b2777	2794346	2793675	-1	P64554	putative 7-carboxy-7-deazaguanine synthase QueE
yqcG	FJKNNBLA_02690	b4682	2794485	2794625	1	C1P612	cell envelope stress response protein YqcG
ygcG	FJKNNBLA_02691	b2778	2794639	2795511	1	P55140	protein YgcG
eno	FJKNNBLA_02692	b2779	2796869	2795571	-1	P0A6P9	enolase
pyrG	FJKNNBLA_02693	b2780	2798594	2796957	-1	P0A7E5	CTP synthetase
mazG	FJKNNBLA_02694	b2781	2799613	2798822	-1	P0AEY3	nucleoside triphosphate pyrophosphohydrolase
mazF	FJKNNBLA_02695	b2782	2800019	2799684	-1	P0AE70	endoribonuclease toxin MazF
mazE	FJKNNBLA_02696	b2783	2800267	2800019	-1	P0AE72	antitoxin of the MazF-MazE toxin-antitoxin system MazE
relA	FJKNNBLA_02697	b2784	2802579	2800345	-1	P0AG20	GDP/GTP pyrophosphokinase
rlmD	FJKNNBLA_02698	b2785	2803928	2802627	-1	P55135	23S rRNA m(5)U1939 methyltransferase
barA	FJKNNBLA_02699	b2786	2803985	2806741	1	P0AEC5	sensor histidine kinase BarA
gudD	FJKNNBLA_02700	b2787	2808314	2806974	-1	P0AES2	D-glucarate dehydratase
gudX	FJKNNBLA_02701	b2788	2809675	2808335	-1	Q46915	glucarate dehydratase-related protein
gudP	FJKNNBLA_02702	b2789	2811029	2809677	-1	Q46916	galactarate/D-glucarate transporter GudP
yqcA	FJKNNBLA_02703	b2790	2811913	2811464	-1	P65367	putative flavodoxin YqcA
truC	FJKNNBLA_02704	b2791	2812713	2811931	-1	P0AA41	tRNA pseudouridine(65)synthase
yqcC	FJKNNBLA_02705	b2792	2813042	2812713	-1	Q46919	DUF446 domain-containing protein YqcC
syd	FJKNNBLA_02706	b2793	2814209	2813664	-1	P0A8U0	SecY-interacting protein
queF	FJKNNBLA_02707	b2794	2814277	2815125	1	Q46920	7-cyano-7-deazaguanine reductase
ppnN	FJKNNBLA_02708	b2795	2815237	2816601	1	P0ADR8	nucleotide 5'-monophosphate nucleosidase
sdaC	FJKNNBLA_02709	b2796	2817158	2818447	1	P0AAD6	L-serine:H(+)symporter SdaC
sdaB	FJKNNBLA_02710	b2797	2818505	2819872	1	P30744	L-serine deaminase II
ygdG	FJKNNBLA_02711	b2798	2819894	2820739	1	P38506	flap endonuclease
fucO	FJKNNBLA_02712	b2799	2821942	2820794	-1	P0A9S1	L-1,2-propanediol oxidoreductase
cra	FJKNNBLA_02717	b0080	2824525	2823527	-1	P0ACP1	DNA-binding transcriptional dual regulator Cra
araB	FJKNNBLA_02718	b0063	2826170	2824590	-1	P08204	ribulokinase
rbsB	FJKNNBLA_02719	b3751	2827173	2826223	-1	P02925	ribose ABC transporter periplasmic binding protein
rbsC	FJKNNBLA_02720	b3750	2828230	2827247	-1	P0AGI1	ribose ABC transporter membrane subunit
rbsA	FJKNNBLA_02721	b3749	2829733	2828234	-1	P04983	ribose ABC transporter ATP binding subunit
fucI	FJKNNBLA_02722	b2802	2830203	2831978	1	P69922	L-fucose isomerase
fucK	FJKNNBLA_02723	b2803	2832087	2833505	1	P11553	L-fuculokinase
fucU	FJKNNBLA_02724	b2804	2833507	2833929	1	P0AEN8	L-fucose mutarotase
fucR	FJKNNBLA_02725	b2805	2833987	2834718	1	P0ACK8	DNA-binding transcriptional activator FucR
rlmM	FJKNNBLA_02726	b2806	2835862	2834762	-1	P0ADR6	23S rRNA 2'-O-ribose methyltransferase
ygdD	FJKNNBLA_02727	b2807	2836250	2835855	-1	P0ADR2	DUF423 domain-containing inner membrane protein YgdD
gcvA	FJKNNBLA_02728	b2808	2837186	2836269	-1	P0A9F6	DNA-binding transcriptional dual regulator GcvA
ygdI	FJKNNBLA_02729	b2809	2837764	2837537	-1	P65292	DUF903 domain-containing lipoprotein YgdI
csdA	FJKNNBLA_02730	b2810	2837956	2839161	1	Q46925	cysteine sulfinate desulfinase
csdE	FJKNNBLA_02731	b2811	2839161	2839604	1	P0AGF2	sulfur acceptor protein CsdE
tcdA	FJKNNBLA_02732	b2812	2840461	2839655	-1	Q46927	tRNA threonylcarbamoyladenosine dehydratase
mltA	FJKNNBLA_02733	b2813	2841797	2840700	-1	P0A935	membrane-bound lytic murein transglycosylase A
amiC	FJKNNBLA_02737	b2817	2843629	2842376	-1	P63883	N-acetylmuramoyl-L-alanine amidase C
argA	FJKNNBLA_02738	b2818	2843861	2845192	1	P0A6C5	N-acetylglutamate synthase
recD	FJKNNBLA_02739	b2819	2847080	2845254	-1	P04993	exodeoxyribonuclease V subunit RecD
